5000 5000
4064 1807 1892
3549 2833 2126
3208 3873 3482
3719 232 2771
2617 1913 330
341 3651 334
2466 4714 2172
1916 3115 1447
434 1962 2849
938 3285 4471
3893 4857 406
1771 3733 3221
3797 3082 1615
4439 670 1315
4990 1371 3397
1749 3123 380
3538 678 4467
3153 2123 567
1958 1763 4463
4254 3030 4182
3172 3867 3138
197 4438 1744
109 4607 4949
1904 3316 4151
3464 2546 1198
1857 1473 3866
2344 2624 4290
1951 3796 3050
2000 2341 1071
2883 4849 4179
2116 1731 4405
1226 2364 1297
323 629 1120
758 2041 2451
142 2187 2448
1869 2617 374
2384 4952 572
366 4074 1203
1282 1871 1680
2855 426 2654
3567 3377 1958
2115 4242 3364
1405 850 612
1626 67 4254
3313 3737 4393
4071 3148 2846
157 3880 459
441 47 516
2732 4258 3749
2427 137 1200
1505 373 1502
4722 2205 4587
1693 4551 4205
629 1092 2482
562 2950 3588
2036 3735 591
835 3141 4413
2205 3878 2758
1120 4489 3724
48 3071 2191
1226 2105 3246
3078 2976 2834
4969 2241 2296
1525 1878 636
4556 355 3871
4427 2648 4675
2042 4019 628
886 483 2725
1170 4058 1445
486 4064 2576
4716 2916 4923
3650 3847 670
2985 2291 3169
4246 1166 923
777 963 4022
3505 3241 559
1484 2309 48
3038 1737 3020
4525 1941 2369
2753 4595 4229
3390 3963 559
1037 984 1938
2747 4827 3127
815 4412 2947
2472 1679 4921
4485 3069 3347
3040 1494 4939
1963 2113 1384
2785 1969 2408
1552 1787 1001
4950 1739 118
3676 2375 4510
658 279 4276
265 4590 1189
1881 4935 987
1077 4635 2074
4858 4566 2181
3897 993 3840
2493 3639 50
2682 4954 871
66 2580 845
2463 2291 2512
677 3166 10
550 1035 728
1194 3152 2446
126 517 881
2965 1673 3182
4395 4337 4219
4463 4113 4200
929 4808 2865
1918 1414 4160
1143 2292 2592
940 2843 4060
4902 3549 1419
2545 3664 2200
724 1436 2110
4630 3871 3655
3682 2131 2675
3813 3497 3267
3064 344 2736
1374 4458 1025
2988 3821 4086
2624 789 3194
4278 3529 232
4623 3088 2147
4820 2230 3470
3051 3857 4004
476 2953 3570
1960 2992 2594
3869 1504 2270
620 1152 1837
1419 391 4735
2446 993 3387
3809 4421 856
3248 729 1629
2630 907 503
3378 42 3893
4076 3844 3249
2676 2224 4635
2650 866 4108
1909 3317 4319
1349 3676 2053
1001 4582 1633
4386 2839 448
1414 3532 2902
2750 146 734
3045 2978 2890
2027 4672 2777
2260 1635 4466
1960 4267 1718
1203 1880 1504
4001 2193 4063
967 3219 1450
913 607 4381
4361 1386 1497
2558 3523 2631
1327 817 4617
2594 4854 1618
4960 451 4730
4851 192 2374
4254 4504 1463
409 4049 98
3036 4554 113
341 166 1792
4904 306 2617
1829 1720 2017
3706 218 4894
113 3422 3141
3561 2785 1975
4833 4191 1635
2272 1845 1936
91 3026 686
6 3012 4694
92 3931 1460
3285 81 59
4757 730 2975
3231 1188 693
3085 1253 879
732 4323 1434
303 3158 82
3246 9 533
408 3732 269
294 364 1300
134 3995 4849
286 4974 1587
2217 3344 491
635 249 4440
2588 4034 71
4451 4708 905
262 4046 3036
2897 2145 728
4765 3636 4760
2286 650 2561
1027 2778 4864
1097 990 4740
4987 3117 3759
1481 3614 23
1337 2668 2693
628 3030 4872
3458 3612 2448
1837 392 4165
198 4010 2754
2859 3297 2411
2672 1133 4313
2932 3369 1310
3732 1670 3619
2716 2911 3679
5000 513 2825
3313 3114 4399
2792 336 1437
2057 4189 1154
4095 2005 955
1133 2658 4925
1092 292 783
1693 3146 2268
1019 3891 2682
2205 1084 906
661 2431 579
3522 629 1552
4387 4143 4193
1330 1350 4366
2896 2968 481
2835 3518 3854
5 633 2560
2326 4135 3881
34 2395 4288
1277 3092 1004
4503 1779 2656
2597 4291 3126
3103 1109 2833
4543 2860 3028
1033 245 20
273 4684 1329
1498 418 1848
4490 1855 4057
4228 1681 3599
2109 1622 2894
321 263 1595
3332 3010 3466
4898 3828 4525
1096 4920 1054
1875 2736 4051
4445 525 2415
3887 2080 4469
4762 3333 3089
554 3923 2721
42 4967 1814
2418 4635 2386
583 44 1324
818 4555 4984
2488 739 2317
506 533 4375
1407 2774 39
4450 3479 290
3537 2069 3985
4994 81 1737
3521 1056 1028
3734 1967 4890
929 2842 4630
968 2082 4550
530 2458 4387
808 2884 3922
4139 1145 4891
2544 2096 4150
1058 1125 3539
2535 341 1601
670 3875 2907
786 1813 138
893 1922 3867
2825 1562 2255
3379 61 1707
3955 1119 417
1292 1102 3191
2045 1778 2584
2580 3916 1104
4607 3404 754
2843 98 1774
4173 3835 1869
1398 802 3891
846 2246 2091
2217 567 2626
4021 2953 2580
1976 726 1451
812 3485 4710
2236 1678 711
2599 3788 1412
870 2438 1071
355 2404 3696
2820 1539 1942
2403 4219 2312
1440 1017 3846
3941 2014 2760
572 2485 4814
2923 4663 3277
2425 3848 2260
600 3084 910
4502 679 2138
1272 2777 830
4158 996 2830
4595 152 881
200 3193 4274
857 1378 3209
1432 1848 1478
3386 3207 3382
3558 2912 537
2798 2997 4562
51 1098 4157
730 4878 497
4573 3117 4877
3002 2700 414
1618 1874 4915
3870 4738 3894
3003 4856 2531
4001 58 2708
1292 3315 1311
1114 2245 4127
3117 705 2546
3400 2114 4880
495 3654 3314
3066 3669 238
3015 2094 987
707 2957 67
4362 654 4441
4603 1414 3303
103 247 913
1323 2038 2959
4408 2848 4371
136 3622 4994
4178 3293 1787
3139 1086 670
2463 4536 3177
3468 2004 2761
3459 1908 141
2078 2958 3705
3735 3470 475
21 2890 1788
2536 513 4541
4298 3621 3038
3423 3828 2902
3633 3420 4200
3457 649 2970
3799 1097 1626
3687 242 2931
87 3598 2102
1117 1374 4681
1794 1882 748
3960 2972 4122
3689 3794 281
2990 2482 3133
2570 452 3956
1186 3721 1346
2196 1208 198
3232 4363 4635
4382 2723 1574
619 341 3014
1600 809 1377
4576 1869 2522
3793 550 89
2998 1047 2884
4886 1282 636
3366 2940 3776
4355 4476 3965
2571 3101 1783
1556 1037 4079
500 61 3034
994 3818 1306
3835 509 1900
563 1105 1214
2489 1236 4254
2630 4761 2600
731 3778 492
3307 1223 3312
1345 735 1300
3375 1559 157
800 3008 2914
3196 662 2868
492 259 4763
1995 982 3532
386 4217 1687
219 2150 2002
2700 1879 401
60 3871 4137
327 4901 3296
3004 4220 3749
1484 2840 4475
2828 1317 3885
3824 98 4295
3101 2991 4083
4598 1932 2161
852 1629 4766
4738 1606 3265
4185 4207 3473
218 4221 956
821 1059 779
4098 3188 794
222 1008 1074
3371 3821 99
3757 1836 681
756 3871 4156
730 2462 1632
4181 2416 4014
1363 2978 3574
3512 3527 286
3200 1896 3601
559 294 4044
2084 100 2470
180 3185 1716
239 3185 4264
4732 461 3801
1467 2100 3531
1676 4461 243
4117 69 4504
2289 745 3450
2379 3935 2167
1900 1427 1198
2936 4941 2533
4878 963 4902
1983 3149 1201
1081 4590 663
1971 1716 4646
59 2356 1495
1934 312 4438
4977 671 1258
1865 3106 1027
1987 4873 2551
4655 1055 4760
1141 1286 4272
1197 3206 4377
894 1950 3799
1877 1054 609
3828 3913 29
2196 1088 1838
1377 3775 1658
3372 79 1570
3729 3922 2284
595 1021 1692
1654 2942 3864
1585 34 3711
3687 257 440
4784 4003 2446
1047 784 4236
2350 3457 4428
4034 1452 3586
2861 4903 1011
1672 1264 272
2258 327 3909
1104 439 1391
1450 2115 4776
457 4923 2722
1703 320 3455
3635 4219 73
4824 3471 3798
2766 3013 2870
1038 3259 990
4151 235 3313
1809 2504 2144
3242 3457 4235
634 2732 3733
3338 1309 1420
3221 3474 1550
3105 1208 3802
342 1695 3196
2315 1546 2664
4280 4810 4016
319 1120 1169
2536 3745 3612
2150 1926 4527
4487 1020 4849
2480 4620 2647
1079 2995 1832
4161 3153 1722
3367 4719 3528
2132 4355 877
1429 3976 2151
1140 3670 511
78 2267 1419
3697 2252 1699
3249 2762 3272
2170 3513 4196
826 4289 2629
3862 2276 2435
228 1293 2396
4260 4030 2803
808 2897 4230
358 1739 4745
649 1399 118
2231 3455 3694
3911 3165 3937
1076 3541 3124
2561 2630 981
751 3849 2157
1807 2749 274
3508 3083 4853
746 4191 4259
1550 438 277
3893 1823 1165
4706 278 3563
2151 1341 282
2395 1757 4919
2790 859 4354
2403 1917 4543
1419 3101 3821
4527 4225 4064
3113 1600 3251
2408 4518 2503
138 29 4630
2583 411 1011
4097 4060 2231
747 3867 3628
2066 4708 4707
3039 3342 4658
859 675 3563
4201 3862 3689
2707 4001 205
985 1078 4811
1673 4774 2665
4800 727 1239
2546 20 4336
4860 3445 4457
4940 324 1039
4515 2985 3434
736 254 2695
3506 2513 222
1610 4536 2836
326 4158 761
4098 715 1802
234 2857 3422
3185 1613 4127
2589 4639 297
3206 2645 129
4000 3943 4970
168 2595 3895
384 2286 2870
4852 3078 1075
3141 1986 4213
991 2893 3920
1145 3196 1624
4303 4100 511
2089 876 527
4392 3168 1076
4670 3318 2875
658 1780 893
3280 4399 2650
1766 806 2973
3038 4420 4871
4466 3415 3873
4633 4011 4741
2444 2115 2017
2636 4903 355
282 159 1776
2184 3337 3249
2798 350 123
140 4392 4326
331 1508 1127
2805 4990 3986
3209 4814 1455
919 1224 2149
231 3284 3847
2904 2923 4410
3321 3557 4409
307 4017 930
1216 597 4984
420 4340 4249
2840 1350 3013
3520 991 1112
2363 1616 4485
2241 1579 1253
3750 4117 4820
244 257 1275
4217 232 1410
1733 4545 4057
1752 2391 237
1729 2266 1502
3166 4751 4985
2830 4335 2764
1855 1156 2407
1737 748 1461
3114 1145 2934
4872 3357 3249
3207 1632 4094
464 1076 2586
1448 3273 2452
2230 893 3891
2453 456 4444
3959 3913 1070
1067 2459 2618
1663 1051 937
417 3923 4590
4705 3227 3238
1232 639 873
2286 3212 3910
763 1700 2465
3052 3331 4267
1907 1077 3879
4952 4589 3533
4338 3621 2133
405 4408 321
3574 1911 2748
4195 606 2127
3630 3862 2908
1007 1297 1022
1805 2415 3184
3335 430 2751
2760 50 3549
436 2113 280
255 388 978
4461 4730 823
630 1385 1082
2885 1616 1392
1848 4568 2258
3773 1708 1438
939 4912 3583
4000 505 2980
1973 4470 995
2382 4876 3187
40 4355 2407
4922 1799 393
4728 4973 2076
1921 1396 3958
1485 3231 4679
3886 3362 1162
1106 4570 3256
3229 3662 1945
4077 445 4895
4909 4458 262
602 826 2069
1469 1742 4642
3562 3013 716
420 163 197
64 3818 2265
976 689 3954
3803 3366 1846
1390 2443 3583
949 1011 1511
587 2012 2100
2558 3046 717
4897 739 52
1219 4510 4585
3192 1594 2233
3164 3859 249
3082 4884 4924
285 2991 2319
3506 574 3039
4586 3380 1740
2553 4414 4307
3974 666 4595
3717 2200 4185
4267 935 4822
3487 1484 2352
3265 2776 898
402 3647 515
877 2835 694
1165 2851 4284
4761 4676 848
3387 2365 3573
4870 675 3286
4017 4009 1374
451 1163 1705
4340 1668 1461
4375 1621 3948
1658 3775 198
1372 4480 321
4776 2761 4891
1612 1610 1116
1188 3701 2815
2164 2785 1743
3614 284 3938
4130 1640 4732
3180 1078 4061
1105 4277 249
255 2348 2907
4489 3191 3660
856 1351 4301
47 2620 1113
3502 3283 2377
3623 279 528
1873 1697 285
1839 2004 2246
4361 4780 398
723 3811 3412
1695 3457 2846
3414 4551 3472
2933 2798 2864
3861 2908 338
2259 611 3242
266 1921 4183
3493 3085 1567
1392 4313 2988
4117 3420 746
4515 3701 2564
932 3845 2492
2716 3840 820
3658 4433 4523
1382 4803 2395
1142 1757 3800
3113 642 1954
3571 4444 3960
4277 832 3635
2832 4688 4661
3020 3756 3920
4480 4159 2113
4372 2667 4080
2980 1054 1307
1702 1390 4943
2711 3547 1256
277 3117 4481
396 4830 1398
633 3994 4466
4954 1290 1332
4076 2444 4728
2386 1821 841
524 3015 4710
675 2363 1904
256 4862 484
4307 4662 4852
1169 900 3629
4424 3020 1514
791 79 1367
1984 589 4680
2957 2923 3860
3711 2347 761
4894 3988 1199
4833 2359 1569
2709 4155 3789
676 372 1665
2578 3301 1823
2564 966 4859
3285 2163 236
3979 3678 2918
4497 3081 745
3669 1171 3819
2276 1410 1165
2211 418 4140
1054 4729 4372
2188 4311 3662
421 769 4833
516 4430 3620
4766 227 3294
4731 2004 4392
4872 2372 197
272 2298 2044
1396 2832 3503
3890 1702 1038
1318 840 2586
3725 3195 3147
394 2282 3277
1803 2822 983
1834 3824 2963
4376 3582 3982
1179 3168 922
198 3205 4350
3762 726 1355
4466 2330 95
3593 464 602
4494 2841 199
3715 1807 715
2302 4384 127
4019 1527 4018
3165 2196 3599
4395 2808 1890
1282 1000 4292
1681 1677 2168
3532 4512 1424
4311 2231 3882
876 1966 3326
1485 1099 108
2765 2208 3067
342 2194 2588
610 533 2131
3781 1300 4445
1337 2549 3165
739 351 4970
831 1225 59
104 2695 131
1189 675 1481
4508 3017 742
4860 1102 2017
1115 1513 4234
4840 2766 141
3720 3272 4280
2972 2001 1978
876 4506 2527
897 3110 932
4074 794 259
4562 4915 3094
2986 2719 4836
868 4502 4717
1821 920 4866
1656 2564 3122
2252 2606 3827
1526 4028 4506
969 3251 3068
2876 3423 3024
1992 4106 92
192 3130 2894
2350 1763 3253
3971 4475 3023
1094 4554 1458
486 1438 4559
3360 1499 1585
4229 2225 2671
4497 2952 4102
2564 2497 1188
4892 3967 2272
4094 3364 3280
4018 4288 4660
259 4019 4488
4335 267 1225
4192 2199 4882
334 3380 4788
4709 3484 707
531 1704 3142
89 587 970
1548 4365 3275
2715 989 1005
4811 4715 4169
4494 3872 4384
2345 997 2333
2146 3244 2685
2635 3653 883
4774 3630 3058
4191 2736 3343
496 2442 187
2283 2101 1316
1508 2391 4315
3281 1374 994
2447 408 1552
3930 879 1046
4503 3586 3411
3475 888 2135
4530 1422 4012
1668 1177 1546
4660 491 3410
4821 917 180
1229 2181 4235
64 251 2708
2721 802 4885
4886 1246 1293
3513 3944 334
2505 2286 1793
4200 1927 4480
2194 1376 3787
937 3357 4100
3431 3065 1789
4230 3028 4093
1859 3315 2746
2861 4229 867
279 1532 1825
3146 1554 3645
2005 3605 2850
1222 2956 3258
3562 3624 1020
2747 3111 2493
755 56 67
785 2428 2697
4161 2325 1171
4643 359 3781
648 445 3800
3303 3272 1519
2462 1666 2205
4479 1407 199
3644 1939 3380
3249 1154 4716
4995 2214 3114
3969 850 4216
1521 1954 4073
3321 2629 3883
4962 840 2346
2279 1566 1929
3985 3264 736
2201 1521 1508
1632 2039 262
2163 2259 2090
1207 2445 468
2782 783 3165
3143 4246 4731
2539 2753 4175
1057 1285 4334
1077 424 4242
4760 940 1425
2407 3063 451
312 3122 1587
1589 3461 2104
806 1558 1141
2513 1989 3531
3524 3822 4258
2127 3415 4857
1412 217 2054
1165 4861 1325
1292 2167 4819
2561 3450 638
15 2416 4990
877 692 1311
90 3491 435
1727 2367 1992
2664 3767 1664
422 2536 2706
3506 813 3068
4147 3057 4873
3702 1409 6
4686 4157 2440
3877 322 3773
1855 812 2424
2518 3173 612
1890 2092 3420
4470 2932 3326
770 4505 4543
4935 3493 2608
1739 4415 3164
1581 4880 4228
3212 490 1831
4617 117 317
1594 611 4106
3384 3374 1862
431 2143 2224
3271 604 3567
2364 4864 1770
2824 1503 3697
4882 3503 1985
4302 3882 668
4246 548 1177
2311 3973 1332
726 2953 3481
1329 2900 1183
4401 4848 1068
3953 2217 2425
4228 3260 2026
1021 133 2547
3759 2505 920
4381 1354 412
3871 1479 4564
4235 3504 4992
2188 3446 2953
2547 4128 1676
3844 2918 3472
3956 1289 2420
4976 656 2349
1311 1307 3785
1080 378 1669
3635 322 700
515 4778 2196
4168 701 1183
4054 4388 826
3418 4550 1890
2187 629 4922
1984 3287 3118
1703 2691 1609
4981 4433 2188
1766 2819 4071
462 2523 3058
3175 839 590
2974 789 1749
4599 3911 2000
4166 4986 1325
4914 706 2676
3727 4100 3707
4710 2220 3780
1498 2830 2734
881 1448 2767
4448 2723 3046
1460 2170 1761
2123 4021 707
3889 2170 4150
159 863 385
4767 320 1973
1689 4990 2906
2460 1573 3980
3507 1565 1591
922 2279 584
4638 3400 2634
4134 1796 2299
4506 4008 583
3763 500 4496
4837 4349 1981
4295 2091 3043
1414 3896 64
2215 4940 604
1382 1335 2280
3034 2960 3443
654 2687 2048
4158 4240 921
2096 629 1582
1688 4981 94
585 818 2307
351 3738 4711
1942 703 2992
260 834 3845
2748 1664 3117
1513 896 2471
559 4362 1958
3204 1331 1346
4237 2890 200
196 2916 3040
1737 3944 4035
2185 3580 217
4220 3272 2665
3896 2500 1452
838 2252 3743
2113 1708 2945
1260 768 2061
4128 1716 2198
1361 2768 3107
579 2079 540
4029 1839 1963
2675 4646 4683
3705 1983 1393
388 4872 3483
3541 1989 3915
3416 3316 4886
4722 4715 180
3512 4561 2123
3891 4823 1491
4044 4943 3407
3552 2510 3796
4463 363 141
4083 1100 783
77 2893 1908
3829 1001 2601
1076 4750 2594
1792 2973 2433
2200 4953 1607
2923 1290 4965
2064 74 4479
401 2362 779
4523 3622 1062
2265 2863 1731
4207 2666 4512
4906 351 2926
363 3349 1355
3189 21 1021
538 3882 2079
4891 4807 3876
4970 228 3731
3563 2461 2074
3755 1036 756
1989 2460 3326
979 4896 1992
2473 3043 1768
1673 3160 1970
1712 4833 4010
15 2490 3754
790 4028 1327
1511 4616 4538
435 4350 3290
641 1197 2548
4547 3620 2855
4545 3280 2405
4559 3819 2690
839 2006 1776
2366 4976 4358
640 1754 1016
2471 3429 4763
3720 3669 4006
3920 2370 4680
4280 2794 685
3514 398 2296
4390 901 3655
4245 3384 3082
3849 1644 1939
768 3850 3939
2725 1211 4719
3127 1390 430
2644 2862 405
2995 3243 4001
3058 1004 2917
2515 1778 2653
3952 1813 3307
2759 1580 1573
2787 3993 2084
2267 402 3231
306 1300 4862
3439 966 1181
2872 4974 1888
4022 280 3040
3583 845 21
1078 2148 4503
1374 2437 4633
4829 24 3353
1524 3241 534
3141 4346 2449
4079 4944 27
2500 1432 1377
589 3474 4255
3006 2383 2591
3463 2488 3138
3252 4840 318
448 1260 538
3938 4515 1629
547 2648 1070
4197 783 2861
3848 3725 3400
406 3245 3067
3 991 3121
2769 2678 2580
3017 2350 2153
2504 4254 3481
1755 126 4542
2229 725 2617
2883 4799 1993
1776 2882 1326
45 3740 728
4247 362 2206
1280 2480 3870
3776 921 2413
3617 4107 2858
1600 1154 260
2323 2949 4757
1984 435 3399
85 3419 2427
422 115 61
758 1185 1808
3944 2466 4263
4855 666 104
4077 4309 4949
4430 1049 4545
2849 4878 2409
932 1228 1823
3057 3974 1979
4129 755 760
4651 82 2220
3989 2809 3592
3815 4928 243
2236 1627 3367
834 3856 634
3544 2630 4936
702 3371 3282
3126 1120 4441
4873 4238 747
740 2466 1605
434 1056 3885
4773 3333 993
289 4372 2738
3931 2184 3932
3814 1097 643
3633 3539 4366
1424 2519 3795
1900 4054 3211
2657 3303 2513
1772 3735 3379
1349 912 1348
4514 4247 182
3829 1146 3710
1937 4075 3553
4767 4314 4887
3056 2222 4020
3149 1272 1445
820 4864 3128
3603 4845 1343
2523 2135 4312
1997 897 2897
1431 3818 167
1350 4686 2983
3208 2205 1837
1268 1240 4895
161 870 274
946 603 1076
4780 2260 1962
3179 363 4478
4029 2546 1650
3293 210 259
1071 3958 757
4561 2588 30
3680 2553 1361
249 4523 4801
1929 3002 4449
3387 1802 4066
1725 1800 3271
2445 2175 2638
2880 234 2139
623 3552 1260
4554 936 249
4230 4762 3829
1617 1721 1159
1386 4413 4484
2214 3133 3567
329 2123 4648
2416 2151 4372
4880 1792 2595
2477 3686 218
3 4921 1047
3686 2717 2141
760 1126 2424
2838 3986 2880
2440 1152 2262
1388 1345 8
550 2085 1472
958 4494 2833
916 2159 2149
4473 4065 404
4985 3329 4865
4027 789 2619
2265 640 3360
799 819 808
3628 1981 3444
2368 366 617
3611 4943 4663
4830 24 1549
3078 782 1194
2759 1467 2505
2054 3302 181
1025 1834 2853
1833 3789 2467
2032 3070 3384
196 3828 2923
3711 4076 4589
61 1111 2145
4377 2155 547
2929 3307 1923
4868 2717 2449
296 1374 3282
4753 1272 2766
4005 4451 567
2570 4740 4014
1336 81 247
4021 4176 2261
1390 85 289
914 3006 2290
4086 718 3024
3437 3585 4260
2045 804 1526
201 4740 608
1434 1861 2223
4771 4658 2372
2504 4189 4168
997 2998 4083
1667 3217 1996
2700 4653 558
4526 3383 3642
4840 2785 383
4155 7 1221
1324 1623 198
4946 2476 4187
3122 2307 3220
2328 4917 34
2546 875 4450
4761 3647 3463
4384 2616 1960
857 1857 2544
1830 518 4808
3653 4503 2036
597 1550 3035
4087 1908 3221
4521 3664 2825
254 4528 2902
558 3631 2684
1099 3236 2353
3380 2501 1445
393 2453 1272
3871 4831 2729
4982 658 2877
2153 20 87
2618 1750 1643
4570 4475 2765
856 2645 2138
3663 2042 2517
3954 4888 3776
3986 512 4029
2903 3204 1599
2056 109 4672
159 1166 2333
4772 314 2500
2815 4566 4592
1309 588 1838
2551 2513 1552
3629 805 2823
4804 2561 2048
4201 4765 2132
3367 2869 3901
4182 478 3885
1574 3439 984
3375 636 3282
4841 2488 2456
3271 1375 1519
817 3972 988
2744 2045 3669
3311 4837 3531
3937 2332 3688
1516 4954 3992
1311 1252 22
3885 3864 4066
3670 1275 4082
1945 4320 4728
204 1671 2404
4441 3690 2591
1278 3653 1852
4994 3896 2199
4938 1163 1261
3024 285 4291
4097 3537 4418
1048 3249 2371
1229 2599 4795
628 4108 3441
2103 1778 4213
2736 1330 4214
4321 949 4664
2715 2914 3762
3077 270 2486
3694 3460 3005
3050 212 1158
1189 4291 1916
2664 4994 4296
4503 2119 1849
708 2858 2650
1814 1335 3001
1544 4011 4639
4585 2404 2888
1939 2670 160
1844 1007 3788
2968 4556 3829
3998 4362 2622
2039 2893 4320
742 2113 2285
3045 788 2165
548 4422 4475
2042 2394 1502
2143 3533 2056
4468 2684 351
2790 1385 965
4693 2613 3767
2757 2363 2644
4097 1077 2490
263 3747 1924
1111 4773 1611
675 3390 1819
2156 3172 471
1629 3371 1388
415 2326 2727
1056 4672 427
2992 975 2196
2008 3372 2412
3135 1102 2800
4832 4362 813
1911 2104 3385
2439 2209 2256
2980 4424 1191
4945 1594 525
3883 3375 2485
3211 827 3056
2429 2647 730
3770 3912 854
2258 3888 1754
4094 1030 585
4110 4766 1598
772 1056 4191
4173 1192 3732
943 1600 1727
2412 80 318
1063 1733 3017
1407 4233 4468
528 865 919
1856 4002 1226
1171 1953 730
2895 1326 4198
2058 3593 763
4518 1480 1167
814 2442 702
3410 4042 2582
4451 4858 4824
537 2390 1525
2726 1625 4947
4372 3493 4929
1452 2014 138
3979 4977 4429
940 4247 1477
3262 3095 4100
1085 2861 4685
2972 2862 2849
3547 1838 1919
4718 3616 3968
1461 4929 2865
2515 1356 945
161 3210 4260
2371 1802 4342
62 2875 2533
3645 372 231
976 4155 1544
1286 1215 3166
164 2854 3261
2291 2187 373
297 3904 4345
2268 1136 4469
4213 4229 161
4963 1765 915
562 1313 3951
4592 1333 1429
2442 3625 933
1007 2416 3564
3554 1177 2783
4098 1800 259
467 2984 2536
4128 1830 4500
3501 2781 4312
4900 2115 2210
4660 4788 2254
3133 1755 3355
4409 2310 4720
768 4483 2649
1120 1478 1081
2121 1153 2452
4525 568 149
4131 2752 2907
1072 1688 3426
2 4665 4759
761 3544 2755
3935 4116 3412
708 750 3244
2294 3340 579
638 826 4473
990 4048 4862
2426 3969 4249
3993 2785 2061
4247 1800 4399
2947 1419 2348
1143 2805 1985
1902 2476 4134
905 2485 4949
3679 1482 23
4762 3383 531
1030 2034 2326
4312 4258 4602
3013 4649 4451
4923 1523 4195
1576 2776 3550
2956 3515 2083
3111 3252 1082
746 1605 4654
3572 1069 4775
2041 157 4767
227 1063 4459
1047 1467 4579
4273 4245 1732
1809 4452 2824
458 226 2547
3351 4002 1574
4954 3851 1440
1472 2194 616
344 2544 862
3697 1866 3550
351 3789 4956
3629 2609 4302
4461 3072 4780
4284 2294 241
157 3752 667
593 684 4958
2680 1439 4021
2476 4103 1686
